district,name,code,type,address,website,cy,cx,tel,fax,V,H,MCP,EB,LD,A,O,ND,note
臺北市,市立西松高級中學,313301,普通科,10586 臺北市松山區健康路 325 巷 7 號,http://www.hssh.tp.edu.tw/,25.055666,121.567135,(02)2528-6618,(02)2766-1724,1,1,1,2,5,4,1,0,
臺北市,市立中崙高級中學,313302,普通科,10561 臺北市松山區八德路四段 101 號,http://www.zlsh.tp.edu.tw/,25.049118,121.561082,(02)2753-5316,(02)2528-6362,1,1,1,2,5,4,1,0,
臺北市,市立松山高級中學,323301,普通科,11070 臺北市信義區基隆路一段 156 號,http://www.sssh.tp.edu.tw/,25.043811,121.565561,(02)2753-5968,(02)8787-6960,3,1,1,2,5,6,1,0,
臺北市,市立永春高級中學,323302,普通科,11080 臺北市信義區松山路 654 號,http://www.ycsh.tp.edu.tw,25.032786,121.578117,(02)2727-2983,(02)2727-4264,1,1,2,3,5,6,1,0,
臺北市,私立延平高級中學,331301,普通科,10675 臺北市大安區建國南路一段 275 號,http://www.yphs.tp.edu.tw/,25.036608,121.538329,(02)2707-1478,(02)2704-6831,1,1,1,1,2,1,1,0,
臺北市,私立復興實驗高級中學,331304,普通科,10688 臺北市大安區敦化南路一段 262 號,http://www.fhjh.tp.edu.tw/,25.039705,121.548327,(02)2771-5859,(02)2776-3658,0,1,1,1,0,1,0,0,
臺北市,市立和平高級中學,333301,普通科,10658 臺北市大安區臥龍街 100 號,http://www.hpsh.tp.edu.tw/,25.019919,121.549094,(02)2732-4300,(02)2738-9621,1,1,1,2,5,4,1,0,
臺北市,市立中山女子高級中學,343301,普通科（女）,10490 臺北市中山區長安東路二段 141 號,http://web.csghs.tp.edu.tw/,25.048777,121.537087,(02)2507-3148,(02)2503-4549,1,1,2,3,5,6,1,0,
臺北市,市立大同高級中學,343302,普通科,10485 臺北市中山區長春路 167 號,http://www.ttsh.tp.edu.tw/,25.055265,121.535201,(02)2505-4269,(02)2502-3782,1,1,2,3,5,6,1,0,
臺北市,市立大直高級中學,343303,普通科,10462 臺北市中山區北安路 420 號,http://web.dcsh.tp.edu.tw/,25.079093,121.543343,(02)2533-4017,(02)2533-8262,1,1,1,2,5,4,1,0,
臺北市,市立建國高級中學,353301,普通科（男）,10066 臺北市中正區南海路 56 號,http://www.ck.tp.edu.tw/,25.031394,121.51216,(02)2303-4381,(02)2304-6215,1,1,2,3,5,7,1,0,
臺北市,市立成功高級中學,353302,普通科（男）,10051 臺北市中正區濟南路一段 71 號,http://www.cksh.tp.edu.tw/,25.043108,121.523754,(02)2321-6256,(02)2321-1504,1,1,2,3,5,7,1,0,
臺北市,市立第一女子高級中學,353303,普通科（女）,10045 臺北市中正區重慶南路一段 165 號,http://web.fg.tp.edu.tw/,25.038462,121.513832,(02)2382-0484,(02)2389-8568,1,1,2,3,5,6,1,0,
臺北市,私立靜修女子高級中學,353303,普通科（女）,10359 臺北市大同區寧夏路 59 號,http://www.bish.tp.edu.tw/,25.058261,121.515571,(02)2557-4345,(02)2557-5047,1,1,1,0,0,2,1,0,
